,precision,recall,f1-score,support
Bersem,0.09302325581395349,0.25,0.13559322033898305,16.0
Coriander,0.03076923076923077,0.14285714285714285,0.05063291139240506,14.0
Garlic,0.19469026548672566,0.4583333333333333,0.2732919254658385,48.0
Gram,0.3917525773195876,0.6440677966101694,0.48717948717948717,59.0
Green pea,0.008,0.043478260869565216,0.013513513513513514,23.0
Lentil,0.08333333333333333,0.30097087378640774,0.13052631578947368,103.0
Maize,0.5972602739726027,0.7440273037542662,0.662613981762918,293.0
Mustard,0.6089449541284404,0.5363636363636364,0.5703544575725027,990.0
No crop/Fallow,0.788879235447437,0.5533211456429007,0.6504297994269341,1641.0
Potato,0.06741573033707865,0.14634146341463414,0.09230769230769231,41.0
Rice,0.14285714285714285,0.3488372093023256,0.20270270270270271,129.0
Sugarcane,0.2911392405063291,0.5644171779141104,0.38413361169102295,163.0
Wheat,0.8513513513513513,0.6824224519940916,0.7575840393550151,2031.0
accuracy,0.5916051161952801,0.5916051161952801,0.5916051161952801,0.5916051161952801
macro avg,0.31918589164024713,0.4165721381417372,0.33929720449988376,5551.0
weighted avg,0.7049705470838111,0.5916051161952801,0.6333718812772189,5551.0
