site_id,crop,season,sensor,scene_id,acquisition_datetime,acquisition_date,doy,days_from_window_start,orbit_pass,relative_orbit_start,relative_orbit_stop,platform,instrument_mode,valid_pixel_count,VV,VH,VV_minus_VH,RVI,ANGLE,das,observed_stage
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231027T124743_20231027T124808_050951_062478_4213,2023-10-27 12:47:43,2023-10-27,300,2.533136574074074,ASCENDING,129.0,129.0,A,IW,57,-12.482717820367327,-29.10866263952045,15.464657689700523,0.11051626292755273,33.397003173828125,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231101T125553_20231101T125618_051024_06270A_3E03,2023-11-01 12:55:53,2023-11-01,305,7.538807870370371,ASCENDING,27.0,27.0,A,IW,57,-14.76643613223968,-23.47316781923968,8.914913211668969,0.4551061989864817,44.973066329956055,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231104T004405_20231104T004430_051060_06282B_D329,2023-11-04 00:44:05,2023-11-04,308,10.030613425925926,DESCENDING,63.0,63.0,A,IW,57,-14.523339223453277,-24.54190849851944,10.33580740675098,0.3388709190174055,42.706321716308594,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231108T124742_20231108T124807_051126_062A80_F460,2023-11-08 12:47:42,2023-11-08,312,14.533125,ASCENDING,129.0,129.0,A,IW,56,-14.506868196814098,-21.460953866731305,7.9220925824302135,0.5557565423388553,33.387992828731015,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231109T005211_20231109T005236_051133_062AB8_777B,2023-11-09 00:52:11,2023-11-09,313,15.036238425925927,DESCENDING,136.0,136.0,A,IW,54,-10.529886424215286,-21.46774186589346,10.835821801738346,0.3025169728580598,31.216764450073242,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231113T125553_20231113T125618_051199_062D0F_D9AC,2023-11-13 12:55:53,2023-11-13,317,19.53880787037037,ASCENDING,27.0,27.0,A,IW,57,-15.092574688385177,-25.18403157530275,10.187371734973599,0.34835961823026707,44.978466145043235,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231116T004405_20231116T004430_051235_062E38_501A,2023-11-16 00:44:05,2023-11-16,320,22.030613425925925,DESCENDING,63.0,63.0,A,IW,56,-13.983468701362138,-24.653309125900662,10.225218816098678,0.346852862507254,42.701576232910156,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231120T124743_20231120T124808_051301_06308F_7E1B,2023-11-20 12:47:43,2023-11-20,324,26.533136574074074,ASCENDING,129.0,129.0,A,IW,55,-8.795013220463298,-19.908271539576667,11.002324320026004,0.2942043157484261,33.410648345947266,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231125T125552_20231125T125617_051374_063317_4DE4,2023-11-25 12:55:52,2023-11-25,329,31.538796296296297,ASCENDING,27.0,27.0,A,IW,57,-10.609337991654428,-19.880174870833926,9.022539303996382,0.44520554395812245,44.970272064208984,,
haridwar_kvk_phenocam,Wheat,wheat_2023_24,S1,S1A_IW_GRDH_1SDV_20231202T124742_20231202T124807_051476_063689_9829,2023-12-02 12:47:42,2023-12-02,336,38.533125,ASCENDING,129.0,129.0,A,IW,55,-10.502755239375833,-17.809420608888658,8.2991908224928,0.5180041980438744,33.407657623291016,,
