field_id,latitude,longitude,period_start,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_raw,VV_VH_ratio_dB,optical_valid,sar_valid,optical_source_tile,sar_source_tile
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-06-01,0.15559999644756317,0.20280000567436218,0.24869999289512634,0.2922999858856201,0.3978999853134155,0.37024998664855957,0.0842454582452774,-0.18074660003185272,-0.15300849080085754,0.06741736084222794,0.06220858171582222,-11.773941040039062,-25.924203872680664,0.454167902469635,14.150262832641602,1,1,4,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-06-17,0.14659999310970306,0.1454000025987625,0.14079999923706055,0.14900000393390656,0.03310000151395798,0.025200000032782555,0.02829539217054844,-0.012228265404701233,0.636463463306427,0.022922968491911888,0.015573571436107159,-12.88003158569336,-23.233844757080078,0.5460687279701233,10.353813171386719,1,1,4,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-07-03,,,,,,,,,,,,-10.305586814880371,-23.38811683654785,0.44063350558280945,13.08253002166748,0,1,-1,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-07-19,,,,,,,,,,,,-8.287163734436035,-19.932310104370117,0.4157653748989105,11.645146369934082,0,1,-1,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-08-04,,,,,,,,,,,,-12.362371444702148,-17.441650390625,0.7093660831451416,5.079278945922852,0,1,-1,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-08-20,,,,,,,,,,,,-13.935870170593262,-17.537540435791016,0.7946308255195618,3.601670265197754,0,1,-1,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-09-05,0.038850001990795135,0.07660000026226044,0.0486999973654747,0.3255999982357025,0.17315000295639038,0.09470000118017197,0.7397512197494507,-0.6189042329788208,0.3052893877029419,0.5198959112167358,0.4750575125217438,-10.581257820129395,-16.237220764160156,0.6516668200492859,5.655962944030762,1,1,4,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-09-21,0.04820000007748604,0.08449999988079071,0.07119999825954437,0.28519999980926514,0.19519999623298645,0.11010000109672546,0.6004489660263062,-0.5428726077079773,0.16900809109210968,0.38083401322364807,0.37178876996040344,-11.898659706115723,-15.912116050720215,0.748928427696228,4.013456344604492,1,1,4,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-10-07,0.09884999692440033,0.12680000066757202,0.15950000286102295,0.2281000018119812,0.3440000116825104,0.2877500057220459,0.15788327157497406,-0.3319797217845917,-0.1947929859161377,0.09763003140687943,0.10048770904541016,-11.592451095581055,-17.797819137573242,0.6513411402702332,6.2053680419921875,1,1,4,4
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-10-23,,,,,,,,,,,,-6.281013011932373,-15.522095680236816,0.4046498239040375,9.241082668304443,0,1,-1,4
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-06-01,0.08420000225305557,0.13040000200271606,0.17180000245571136,0.2168000042438507,0.34610000252723694,0.34040001034736633,0.1137477457523346,-0.24689576029777527,-0.22307831048965454,0.0707959234714508,0.07451841980218887,-11.827136039733887,-19.59031105041504,0.6037237644195557,7.763175010681152,1,1,0,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-06-17,,,,,,,,,,,,-9.072433471679688,-18.381744384765625,0.4765274226665497,9.309310913085938,0,1,-1,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-07-03,,,,,,,,,,,,-10.025553703308105,-23.725139617919922,0.4225709140300751,13.699585914611816,0,1,-1,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-07-19,,,,,,,,,,,,-9.305505752563477,-19.06687355041504,0.48804575204849243,9.761367797851562,0,1,-1,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-08-04,,,,,,,,,,,,-10.337952613830566,-15.624557495117188,0.6611456871032715,5.286604881286621,0,1,-1,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-08-20,,,,,,,,,,,,-9.299274444580078,-16.576866149902344,0.5609790682792664,7.277591705322266,0,1,-1,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-09-05,0.03415000066161156,0.056299999356269836,0.029650000855326653,0.4147999882698059,0.18005000054836273,0.08635000139474869,0.867090106010437,-0.761678159236908,0.39429572224617004,0.7205740809440613,0.6115589737892151,-11.478816986083984,-17.307353973388672,0.6632335782051086,5.8285369873046875,1,1,0,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-09-21,0.02710000053048134,0.052400000393390656,0.030400000512599945,0.3944000005722046,0.16660000383853912,0.07919999957084656,0.8644572496414185,-0.7635378837585449,0.40323159098625183,0.6610392928123474,0.606800377368927,-10.049027442932129,-16.229196548461914,0.6176456212997437,6.180169105529785,1,1,0,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-10-07,0.0414000004529953,0.10130000114440918,0.0697999969124794,0.45080000162124634,0.2581999897956848,0.1453000009059906,0.731847882270813,-0.6591829061508179,0.2678293287754059,0.6057802438735962,0.5599647164344788,-11.134719848632812,-14.927811622619629,0.7459044456481934,3.7930917739868164,1,1,0,0
GEE-PIXEL-1,29.593334989577983,76.54496763729891,2025-10-23,,,,,,,,,,,,-11.515265464782715,-16.209794998168945,0.7103893756866455,4.6945295333862305,0,1,-1,0
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-06-01,0.11845000088214874,0.15000000596046448,0.18380001187324524,0.23469999432563782,0.35394999384880066,0.3429499864578247,0.12596607208251953,-0.23560601472854614,-0.20770393311977386,0.087860107421875,0.08351310342550278,-12.658482551574707,-22.865985870361328,0.5535944700241089,10.207503318786621,1,1,3,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-06-17,,,,,,,,,,,,-9.137309074401855,-20.267866134643555,0.4482687711715698,11.1305570602417,0,1,-1,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-07-03,,,,,,,,,,,,-9.93809986114502,-25.168846130371094,0.3948572278022766,15.230746269226074,0,1,-1,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-07-19,,,,,,,,,,,,-10.221807479858398,-19.145689010620117,0.5338960886001587,8.923881530761719,0,1,-1,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-08-04,,,,,,,,,,,,-10.228830337524414,-17.033252716064453,0.605706512928009,6.804422378540039,0,1,-1,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-08-20,,,,,,,,,,,,-12.285940170288086,-17.408830642700195,0.7057303786277771,5.122890472412109,0,1,-1,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-09-05,0.02969999983906746,0.05000000074505806,0.029899999499320984,0.33820000290870667,0.14069999754428864,0.06925000250339508,0.8391006588935852,-0.7436883449554443,0.4124128520488739,0.5952266454696655,0.5327908396720886,-13.170029640197754,-17.92271614074707,0.7348234057426453,4.752686500549316,1,1,3,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-09-21,0.02759999968111515,0.06019999831914902,0.03759999945759773,0.33880001306533813,0.14100000262260437,0.0697999969124794,0.8027282357215881,-0.7018325924873352,0.4068906903266907,0.5621802806854248,0.5173070430755615,-13.077722549438477,-17.21027374267578,0.7588745355606079,4.132551193237305,1,1,3,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-10-07,0.021199999377131462,0.061799999326467514,0.05939999967813492,0.31610000133514404,0.17260000109672546,0.09520000219345093,0.6585226058959961,-0.6471595764160156,0.25135546922683716,0.3854566514492035,0.4052954614162445,-9.251508712768555,-15.593737602233887,0.5932835936546326,6.342228889465332,1,1,3,3
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-10-23,,,,,,,,,,,,-11.98798942565918,-17.865942001342773,0.6709967851638794,5.877952575683594,0,1,-1,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-06-01,0.06450000405311584,0.1229500025510788,0.14919999241828918,0.2795500159263611,0.36329999566078186,0.3281500041484833,0.3047725558280945,-0.3920505940914154,-0.1322019249200821,0.1918819099664688,0.20937085151672363,-10.555734634399414,-17.03714942932129,0.6195716857910156,6.481414794921875,1,1,3,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-06-17,,,,,,,,,,,,-8.749980926513672,-15.71056842803955,0.557759165763855,6.960587501525879,0,1,-1,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-07-03,,,,,,,,,,,,-10.42969036102295,-18.142202377319336,0.5748856067657471,7.712512016296387,0,1,-1,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-07-19,,,,,,,,,,,,-9.84892463684082,-15.845956802368164,0.6215418577194214,5.997032165527344,0,1,-1,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-08-04,,,,,,,,,,,,-8.966139793395996,-16.20296859741211,0.5527969598770142,7.236828804016113,0,1,-1,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-08-20,,,,,,,,,,,,-7.071044921875,-13.768360137939453,0.513572096824646,6.697315216064453,0,1,-1,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-09-05,0.05979999899864197,0.09444999694824219,0.07654999941587448,0.2971000075340271,0.21860000491142273,0.1298000067472458,0.5902453660964966,-0.5162373781204224,0.15141518414020538,0.4211269021034241,0.37866640090942383,-8.862272262573242,-14.703788757324219,0.6027203798294067,5.841516494750977,1,1,3,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-09-21,0.10109999775886536,0.133200004696846,0.16140000522136688,0.22179999947547913,0.3382999897003174,0.2660999894142151,0.15520831942558289,-0.24257704615592957,-0.20799855887889862,0.10370627045631409,0.10113121569156647,-10.023374557495117,-17.659746170043945,0.5693801045417786,7.636371612548828,1,1,3,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-10-07,0.08160000294446945,0.09560000151395798,0.11940000206232071,0.15459999442100525,0.22020000219345093,0.1843000054359436,0.1284671276807785,-0.23581132292747498,-0.19608907401561737,0.06729576736688614,0.06821703910827637,-8.056368827819824,-18.04816246032715,0.44638171792030334,9.991793632507324,1,1,3,3
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-10-23,0.11339999735355377,0.14079999923706055,0.15219999849796295,0.19099999964237213,0.2590999901294708,0.22779999673366547,0.11305361986160278,-0.1512959599494934,-0.15129970014095306,0.07737098634243011,0.0690227746963501,-9.707627296447754,-20.777156829833984,0.46722596883773804,11.06952953338623,1,1,3,3
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-06-01,0.1740500032901764,0.21355000138282776,0.24285000562667847,0.26600000262260437,0.3296000063419342,0.3120500147342682,0.0494668148458004,-0.1168227568268776,-0.10955200344324112,0.040449537336826324,0.035599254071712494,-12.375449180603027,-23.237144470214844,0.5325718522071838,10.861695289611816,1,1,6,6
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-06-17,,,,,,,,,,,,-12.813939094543457,-25.69089698791504,0.5172399282455444,12.876957893371582,0,1,-1,6
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-07-03,,,,,,,,,,,,-9.588619232177734,-23.972034454345703,0.399991899728775,14.383415222167969,0,1,-1,6
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-07-19,,,,,,,,,,,,-9.273320198059082,-19.196744918823242,0.4830673635005951,9.92342472076416,0,1,-1,6
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-08-04,,,,,,,,,,,,-9.346901893615723,-16.622175216674805,0.5733123421669006,7.275273323059082,0,1,-1,6
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-08-20,,,,,,,,,,,,-10.963327407836914,-17.852558135986328,0.6141040325164795,6.889230728149414,0,1,-1,6
