feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A3_S1_S2_sequence,CNN1D,0,spatial_grid_stratified_group,0.556998556998557,0.41643075744193986,0.32646893501825847,0.41643075744193986,0.3332033396517747,0.6061055291856102,0.4584817835019074,0.47334430789761256
A3_S1_S2_sequence,CNN1D,1,spatial_grid_stratified_group,0.523121387283237,0.43052656020441427,0.3202401474120459,0.43052656020441427,0.3008330818545118,0.5771137611474982,0.42215539126160584,0.4392988414637983
A3_S1_S2_sequence,CNN1D,2,spatial_grid_stratified_group,0.6240115025161754,0.49490298231066815,0.3556014356505166,0.49490298231066815,0.3803814618392565,0.6661618434417158,0.5303021009740757,0.5406224399109628
A3_S1_S2_sequence,CNN1D,3,spatial_grid_stratified_group,0.5935251798561151,0.45242373540346303,0.368039146608592,0.45242373540346303,0.38099721040413453,0.6278374022647041,0.48733364536557044,0.4959232662408637
A3_S1_S2_sequence,CNN1D,OOF,spatial_grid_stratified_group,0.574491082687804,0.44811636190253057,0.32964217080570013,0.44811636190253057,0.34342321359340827,0.6209117962158789,0.4741328902905636,0.48599056593024925
A3_S1_S2_sequence,GRU,0,spatial_grid_stratified_group,0.47113997113997114,0.4495496714491614,0.3074685498425528,0.4495496714491614,0.2955436198560294,0.5321312209536115,0.3774489167501587,0.3990051870531333
A3_S1_S2_sequence,GRU,1,spatial_grid_stratified_group,0.4754335260115607,0.42116010744364135,0.3151450003959098,0.42116010744364135,0.29365021694340526,0.547193452719683,0.3818167052422138,0.4028292960991373
A3_S1_S2_sequence,GRU,2,spatial_grid_stratified_group,0.5621854780733285,0.5530211221099187,0.3512589814496051,0.5530211221099187,0.36523703098224214,0.6232615021897314,0.47348463188879963,0.4909238541442393
A3_S1_S2_sequence,GRU,3,spatial_grid_stratified_group,0.5057553956834533,0.4549625284490014,0.3404890856114202,0.4549625284490014,0.32711352325030457,0.5662663803686189,0.4059075163496283,0.42431883517847774
A3_S1_S2_sequence,GRU,OOF,spatial_grid_stratified_group,0.5036930282831922,0.4704433248288202,0.3245734924903686,0.4704433248288202,0.31790524677211374,0.5680039679463382,0.4094311189652794,0.42836587274365223
A3_S1_S2_sequence,LSTM,0,spatial_grid_stratified_group,0.5057720057720058,0.4763276995847811,0.3217157128930544,0.4763276995847811,0.312144662257655,0.5733454669391553,0.41336831419004705,0.43267929584225323
A3_S1_S2_sequence,LSTM,1,spatial_grid_stratified_group,0.5173410404624278,0.43002802006246965,0.3141427323338398,0.43002802006246965,0.3044900506806304,0.5822903271310369,0.42269272102713773,0.4407246149884684
A3_S1_S2_sequence,LSTM,2,spatial_grid_stratified_group,0.5154565061107117,0.5148304392278304,0.3368608560047775,0.5148304392278304,0.3342063887782793,0.5841195563699392,0.42708964148417206,0.44785246378504734
A3_S1_S2_sequence,LSTM,3,spatial_grid_stratified_group,0.5237410071942447,0.44245514667143915,0.34543118530337424,0.44245514667143915,0.33579888012515735,0.5829897120716173,0.4261023695464663,0.44538372878116633
A3_S1_S2_sequence,LSTM,OOF,spatial_grid_stratified_group,0.5155827778778599,0.46668328546428745,0.32469482493550367,0.46668328546428745,0.3186203723488299,0.5809530608722605,0.4223136003911039,0.4409748567713119
