feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A0_S2_static,CatBoost,OOF,spatial_grid_stratified_group,0.5773734462259053,0.28820009392232665,0.24909205787376074,0.28820009392232665,0.2597970437630281,0.5886936110652955,0.44641257263827305,0.4481679620052815
A0_S2_static,LinearSVM,OOF,spatial_grid_stratified_group,0.5408034588362457,0.3034303914478778,0.24867158199396827,0.3034303914478778,0.24659078667711146,0.5683175003466459,0.4148583840984058,0.42049091868347216
A0_S2_static,HistGradientBoosting,OOF,spatial_grid_stratified_group,0.6094397405872816,0.23539391819575275,0.2615085219103063,0.23539391819575275,0.2388333348812675,0.5911284534713579,0.46030239219069213,0.4614855196483672
A0_S2_static,LightGBM,OOF,spatial_grid_stratified_group,0.6193478652495046,0.2276197863881141,0.2958516771404488,0.2276197863881141,0.23543054986599488,0.5946745214258183,0.4680773524895566,0.4704060604469615
A0_S2_static,RBF_SVM,OOF,spatial_grid_stratified_group,0.40190956584399207,0.3452610282447915,0.26423910144520524,0.3452610282447915,0.23512921926412206,0.47742833929942824,0.3065557917709255,0.32497548130379705
A0_S2_static,XGBoost,OOF,spatial_grid_stratified_group,0.6301567285173842,0.2210422138546971,0.28438231147111015,0.2210422138546971,0.22506828263980752,0.5987291587291114,0.47804875971003913,0.48273492573588306
A0_S2_static,KNN,OOF,spatial_grid_stratified_group,0.6161052062691407,0.22061979554924205,0.30454218660274174,0.22061979554924205,0.22468838948896203,0.5845473871832728,0.4581046992217881,0.46339402313529493
A0_S2_static,LogisticRegression,OOF,spatial_grid_stratified_group,0.3491262835525131,0.34543328961594527,0.2655790684243269,0.34543328961594527,0.22261087794748036,0.4272655536615664,0.26337668796200187,0.28373440064238464
A0_S2_static,MLP,OOF,spatial_grid_stratified_group,0.6418663303909206,0.22512471245869653,0.3716305062370716,0.22512471245869653,0.22249811585428173,0.6083595833551924,0.49492679007259155,0.49953187948949673
A0_S2_static,ExtraTrees,OOF,spatial_grid_stratified_group,0.6341199783822735,0.217908167341179,0.4454528259734331,0.217908167341179,0.2210905610447405,0.5923822277142785,0.47663268053083385,0.48704184596175676
A0_S2_static,RandomForest,OOF,spatial_grid_stratified_group,0.6317780580075663,0.2160740204283734,0.30481528752497183,0.2160740204283734,0.21880607471697422,0.5920044592570624,0.47343581173929794,0.48361738653248304
A0_S2_static,ShrinkageLDA,OOF,spatial_grid_stratified_group,0.6155647631057467,0.21798359848307752,0.3013255883449001,0.21798359848307752,0.212519446643535,0.5828868321581127,0.4601175753333624,0.4645336085203066
A0_S2_static,GradientBoosting,OOF,spatial_grid_stratified_group,0.6191677175283733,0.20552945614449816,0.24370576528202545,0.20552945614449816,0.20506863931888397,0.5821079902984276,0.45790960532883995,0.46670255799580057
A0_S2_static,DecisionTree,OOF,spatial_grid_stratified_group,0.4613583138173302,0.20713633647509683,0.19350056015461486,0.20713633647509683,0.19764030114625208,0.47908434826845103,0.2990328653796822,0.3004456061777779
A0_S2_static,GaussianNB,OOF,spatial_grid_stratified_group,0.33471446586200687,0.2754361843420617,0.19278134246366313,0.2754361843420617,0.1710601158647545,0.3764151160563697,0.22022130745239443,0.23483338376782242
A0_S2_static,DummyMostFrequent,OOF,spatial_grid_stratified_group,0.36588002161772654,0.07692307692307693,0.028144617047517424,0.07692307692307693,0.04121096524156403,0.19601749509512073,0.0,0.0
A1_S2_temporal,CatBoost,OOF,spatial_grid_stratified_group,0.694829760403531,0.41582499575112286,0.3801324106588119,0.41582499575112286,0.38863388495781975,0.6973535767762449,0.5947785113278427,0.5961023519132412
A1_S2_temporal,HistGradientBoosting,OOF,spatial_grid_stratified_group,0.713024680237795,0.3634255959030971,0.4000088786910053,0.3634255959030971,0.3710742933730312,0.699867930487277,0.6076394895908297,0.6084736862602672
A1_S2_temporal,ShrinkageLDA,OOF,spatial_grid_stratified_group,0.6737524770311656,0.40914305089803626,0.35600130596784185,0.40914305089803626,0.37023105318674526,0.6833007195012837,0.5681108452633998,0.5714816835637472
A1_S2_temporal,LightGBM,OOF,spatial_grid_stratified_group,0.7117636461898756,0.3523305060022619,0.4072223080066786,0.3523305060022619,0.36281194760282465,0.6960623210906881,0.6039750531393815,0.6054133706616814
A1_S2_temporal,XGBoost,OOF,spatial_grid_stratified_group,0.7157268960547649,0.34030670628679993,0.4305112656836985,0.34030670628679993,0.3604107018805367,0.6949803088065604,0.6058275125302346,0.608014500910436
A1_S2_temporal,RBF_SVM,OOF,spatial_grid_stratified_group,0.5968294001080886,0.41732008570298784,0.3334344825837822,0.41732008570298784,0.34719979526370826,0.6401569834186492,0.49520400370334017,0.5041636514611454
A1_S2_temporal,LinearSVM,OOF,spatial_grid_stratified_group,0.6258331832102324,0.38855894394369134,0.3203229756150376,0.38855894394369134,0.33994684182748947,0.651092289374228,0.5151555687844249,0.5180851910377656
A1_S2_temporal,LogisticRegression,OOF,spatial_grid_stratified_group,0.5916051161952801,0.4165721381417372,0.31918589164024713,0.4165721381417372,0.33929720449988376,0.6333718812772189,0.4863287949260664,0.4928504800639635
A1_S2_temporal,MLP,OOF,spatial_grid_stratified_group,0.6955503512880562,0.329853625519246,0.3610731554561148,0.329853625519246,0.3391725764724838,0.6778199926443653,0.580011438535778,0.5816420933978748
A1_S2_temporal,RandomForest,OOF,spatial_grid_stratified_group,0.710322464420825,0.32234283882478104,0.3840367850171248,0.32234283882478104,0.33805978584955493,0.6842056257193794,0.5946771337895747,0.5991846373305062
A1_S2_temporal,ExtraTrees,OOF,spatial_grid_stratified_group,0.7050981805080165,0.32295152886796596,0.38046123459102643,0.32295152886796596,0.3362090619534268,0.6790483437919149,0.5878847185784211,0.5933906043798131
A1_S2_temporal,KNN,OOF,spatial_grid_stratified_group,0.6748333633579535,0.3227307788618463,0.3419261929535454,0.3227307788618463,0.3247404815809149,0.6566160263581639,0.5513887931853916,0.5543241270749188
A1_S2_temporal,GradientBoosting,OOF,spatial_grid_stratified_group,0.6939290217978743,0.31155020009625795,0.35578599194976124,0.31155020009625795,0.322434479520694,0.6753976118617987,0.5763680533105723,0.5783669136800053
A1_S2_temporal,DecisionTree,OOF,spatial_grid_stratified_group,0.5653035489101063,0.30654911027484905,0.28129279197405826,0.30654911027484905,0.29153382819674906,0.5777746886544198,0.4275776161913255,0.4285083404365748
A1_S2_temporal,GaussianNB,OOF,spatial_grid_stratified_group,0.040713384975680056,0.20502885309921753,0.1634092875333682,0.20502885309921753,0.057823627022095855,0.0313563127216715,0.029111122103476328,0.036244209904452755
A1_S2_temporal,DummyMostFrequent,OOF,spatial_grid_stratified_group,0.36588002161772654,0.07692307692307693,0.028144617047517424,0.07692307692307693,0.04121096524156403,0.19601749509512073,0.0,0.0
A2_S1_temporal,CatBoost,OOF,spatial_grid_stratified_group,0.6885245901639344,0.37528046614076704,0.32451471854206637,0.37528046614076704,0.3399922527394346,0.6824507944928268,0.5835902067796714,0.5852816457628749
A2_S1_temporal,RBF_SVM,OOF,spatial_grid_stratified_group,0.6092595928661503,0.3860141826466782,0.2982941056929381,0.3860141826466782,0.319862625979913,0.6314586370224748,0.5008592680811943,0.5068958010818965
A2_S1_temporal,LightGBM,OOF,spatial_grid_stratified_group,0.7106827598630877,0.3125116818024392,0.37061267807832443,0.3125116818024392,0.31979033683696395,0.6864618783125369,0.598376803477233,0.6016082444718465
A2_S1_temporal,HistGradientBoosting,OOF,spatial_grid_stratified_group,0.7016753738065213,0.31001908467981626,0.3445075486698387,0.31001908467981626,0.3124413848890671,0.6795639034094962,0.5879053161701483,0.5900434945932576
