feature_set,model,macro_f1,balanced_accuracy,accuracy,weighted_f1,kappa,mcc,validation_mode
A0_S2_static,CatBoost,0.2597970437630281,0.28820009392232665,0.5773734462259053,0.5886936110652955,0.44641257263827305,0.4481679620052815,spatial_grid_stratified_group
A1_S2_temporal,CatBoost,0.38863388495781975,0.41582499575112286,0.694829760403531,0.6973535767762449,0.5947785113278427,0.5961023519132412,spatial_grid_stratified_group
A2_S1_temporal,CatBoost,0.3399922527394346,0.37528046614076704,0.6885245901639344,0.6824507944928268,0.5835902067796714,0.5852816457628749,spatial_grid_stratified_group
A3_S1_S2_temporal,HistGradientBoosting,0.3909757509971785,0.3798382947981339,0.7330210772833724,0.7175390333748682,0.6346240017993029,0.6357064523304797,spatial_grid_stratified_group
A4_temporal_descriptors,CatBoost,0.37136901784599136,0.39720817189606844,0.7070798054404612,0.7023118664108214,0.6080941509200724,0.6090310814968871,spatial_grid_stratified_group
