feature_set,model,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,accuracy,accuracy,weighted_f1,weighted_f1,kappa,kappa,mcc,mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
A0_S2_static,CatBoost,0.259163286468751,0.013036419967745658,0.28813765698811933,0.0162351990861877,0.5773980654050481,0.019601671925378362,0.5882861597349323,0.02291659017547802,0.4463203692583021,0.028588015926815993,0.4486189498898091,0.028737305146324606
A0_S2_static,DecisionTree,0.19778702313132987,0.006793410780630168,0.20770950839091606,0.010099578217748952,0.4613538808920157,0.002890139995438977,0.4787265340772933,0.00810567762028252,0.298975822658762,0.00970760709384066,0.30077857191099167,0.010535011623351445
A0_S2_static,DummyMostFrequent,0.041211064485121296,8.936092734421217e-05,0.0769230769230769,0.0,0.3658818699129943,0.0010836669824582051,0.1960199015194112,0.0010056420616682846,0.0,0.0,0.0,0.0
A0_S2_static,ExtraTrees,0.22004053477239277,0.001887633632781393,0.21786902609145498,0.005885379471790191,0.6341394199951274,0.02508113708257862,0.5919148549767967,0.023210882515258154,0.47660611871339026,0.03673240833093812,0.4871880208967043,0.0358459548606197
A0_S2_static,GaussianNB,0.17261825215793813,0.007285901097780566,0.2758503221320288,0.01125814916241437,0.3347527089599201,0.02188190118525326,0.3754865184178015,0.019441013725034675,0.22034800466689947,0.014200066613201829,0.23581840094120204,0.013304758823399382
A0_S2_static,GradientBoosting,0.20397944391317127,0.004147033442579696,0.2054626475601239,0.0053777647126590986,0.6191835623194151,0.016098759351182566,0.5815782640381303,0.01585731445929984,0.45782501074405857,0.025158609461266426,0.46722919256181594,0.024633389392424182
A0_S2_static,HistGradientBoosting,0.23708035459898516,0.01606590194320803,0.23509744110647968,0.010383116712867783,0.6094479348149195,0.017817135639589213,0.5906154606094303,0.016852572219326775,0.46028154635609353,0.025148246895528713,0.46182303572291755,0.02447669128201953
A0_S2_static,KNN,0.22391426228268815,0.007084111092043577,0.22033798546568997,0.005117957110650653,0.6161215888163024,0.017158161912980238,0.5840590257157696,0.016586408494230515,0.4580975621732394,0.02463468819262498,0.46368098418441106,0.02370254892179476
A0_S2_static,LightGBM,0.23243561293107903,0.0076754714549798365,0.2273393105844544,0.005802661091506935,0.6193627638952658,0.014083637966373611,0.5940322730154806,0.012041457449427253,0.46807383022314525,0.019769647093505205,0.47073068294293685,0.019382995077343597
A0_S2_static,LinearSVM,0.2493087825587738,0.01392149822500815,0.3039100855000346,0.020666946841441457,0.5408424107832689,0.031202262171920164,0.5676570118307811,0.0299757983924163,0.41494747054123904,0.03833550201156044,0.4212689696096617,0.037801561873180095
A0_S2_static,LogisticRegression,0.22378417721114793,0.01233274886495256,0.3449681565234863,0.024290361038113863,0.3491749347761585,0.0338624583611692,0.42618824552502516,0.03946583202008264,0.26363000687046995,0.03102812317707723,0.28426867207654993,0.03062223685509803
A0_S2_static,MLP,0.22048358609065818,0.01995971675235886,0.22517884171732755,0.01852184376652676,0.6419007617906805,0.031130425761834408,0.6076298704406253,0.031988386558986275,0.4948220168968124,0.04611437468631855,0.50029558001224,0.04653629786255383
A0_S2_static,RBF_SVM,0.23483071510783238,0.004540627790366308,0.34519176227294307,0.021821257031407384,0.40195257343381935,0.027669422503057914,0.47599700780952964,0.029756348792825422,0.3067580720403241,0.02553900598436658,0.32534392129803497,0.024993433429464692
A0_S2_static,RandomForest,0.21810847077142537,0.010651026420385628,0.21598419308848452,0.010285265008909698,0.6317921969225161,0.022458876259620956,0.5916208578939619,0.022224529409708826,0.47336270815837606,0.0337686045779383,0.48378454783769265,0.031780310398538264
A0_S2_static,ShrinkageLDA,0.21188659201946153,0.0066598312196122925,0.21789726353265135,0.005990993211692637,0.615591875632345,0.02015638329100639,0.5824370716999598,0.018114339824809138,0.46008668812904213,0.028465892005164122,0.46575719201696736,0.02749486693919981
A0_S2_static,XGBoost,0.22366546680503352,0.0056143136359483635,0.22082341458674853,0.004558575804419234,0.6301766094896415,0.019981026591967065,0.5983487125562899,0.01877615443700175,0.4780146087245881,0.029328475986518287,0.4831849230700064,0.027982911270154523
A1_S2_temporal,CatBoost,0.3891543618875653,0.02372201533656537,0.41596835999102433,0.01653991851559335,0.6948283950503951,0.01755962705235772,0.6971269559045765,0.014556501169617386,0.5948075172422671,0.022301066723556903,0.5966285913949309,0.02147983891425639
A1_S2_temporal,DecisionTree,0.28904734601314974,0.012504218271700182,0.30638244080947824,0.017349677487816084,0.5652873291452837,0.015099330768863967,0.5772051455934325,0.01492135030768369,0.4275560244380097,0.020570131542120215,0.42892898211667346,0.020956454690406048
A1_S2_temporal,DummyMostFrequent,0.041211064485121296,8.936092734421217e-05,0.0769230769230769,0.0,0.3658818699129943,0.0010836669824582051,0.1960199015194112,0.0010056420616682846,0.0,0.0,0.0,0.0
A1_S2_temporal,ExtraTrees,0.3324455074456122,0.014762953410321836,0.32279231790934537,0.0135112147911437,0.7050973513856973,0.028485830136454136,0.6781451040323622,0.027426326943288434,0.5878201587554039,0.040547814445004875,0.5939505837171846,0.03821533626340497
A1_S2_temporal,GaussianNB,0.059512224158087504,0.017356544685421454,0.20332055079614061,0.02585451466901558,0.04070273628808528,0.015462453893420833,0.02659143656007745,0.016728990792262356,0.029041480830124127,0.015160420376146667,0.03848761213061865,0.01994614505577289
A1_S2_temporal,GradientBoosting,0.3201365910547624,0.01812535841156073,0.3118509028407995,0.022002283314604618,0.6939309270588985,0.029481867964048822,0.6746306955433758,0.026011456708585946,0.5763937187466733,0.04036816464182948,0.5787762224337709,0.03982246104647548
A1_S2_temporal,HistGradientBoosting,0.368017513545864,0.012759077481275095,0.36385208148386466,0.01726796491915441,0.7130193236289227,0.021826847253197244,0.6994425490076892,0.01708050818512715,0.6076949787721007,0.02844932927093126,0.6090508926610589,0.027897428093259718
A1_S2_temporal,KNN,0.32412519285507174,0.011649378306939028,0.3228409456290436,0.018976833638114865,0.6748418731792292,0.022967351607564686,0.6564052571403391,0.023427216093479773,0.5512614531166522,0.03420177751006489,0.5546202416024153,0.0326121008219173
A1_S2_temporal,LightGBM,0.3612044787556604,0.011012428164785943,0.35268610360588915,0.01478313596425587,0.7117651326716499,0.01916371414063424,0.6958073743022283,0.016158661518509768,0.6039790412845614,0.02611721438956276,0.6057514848697695,0.02532025709029124
A1_S2_temporal,LinearSVM,0.3367705091288028,0.027756962532793056,0.3888492249219106,0.04851132454281552,0.6258434299434275,0.021751486593686285,0.6499392984897623,0.014589545326414733,0.5153321885297452,0.023098431141954923,0.5187713648119355,0.021239221945202495
A1_S2_temporal,LogisticRegression,0.3375698489498359,0.009896606021271105,0.4163369583833223,0.026624719921867438,0.5916162042297693,0.027007856749064,0.6322356728415222,0.01899489805112897,0.48658344189371827,0.027097576756782617,0.49364958328792385,0.024650240571673854
A1_S2_temporal,MLP,0.33726395413416677,0.015284465682065304,0.33002720789754214,0.02105580519744389,0.6955572833688568,0.027109278552706575,0.6774950304530827,0.02429630917201142,0.5799552059939306,0.03812261399372113,0.5824176989885972,0.037580266342073225
A1_S2_temporal,RBF_SVM,0.34465357964506116,0.012909717879021867,0.4172722385692631,0.013876447258611313,0.5968290618436589,0.0125392648324491,0.6399362581533774,0.01071131398863304,0.49522543108983424,0.014559146522008994,0.5047767514992726,0.013350067394795193
A1_S2_temporal,RandomForest,0.3369329801310699,0.01602212080465237,0.32261737343312746,0.019473528894073378,0.7103244711101225,0.030096781968052,0.6837496822210544,0.028295092129711368,0.5946131028417514,0.04284798482371842,0.5996378214321351,0.04146234796596097
A1_S2_temporal,ShrinkageLDA,0.3723188073031426,0.011445838553112769,0.4095615055951049,0.02198297970561236,0.6737391159713595,0.021559409206658418,0.682576566999253,0.01738563392903626,0.5681688318474083,0.02659082112125138,0.5722450329135627,0.024698128032793854
A1_S2_temporal,XGBoost,0.35688256344640057,0.02227363096536949,0.34054005281484606,0.023763421289264123,0.7157276847696437,0.024069150810185076,0.6944258212862968,0.02158819061391181,0.605822236631532,0.033366816592399026,0.6084024666513237,0.032549082120342146
A2_S1_temporal,CatBoost,0.34110669581528197,0.019143199019523705,0.37532913716515315,0.020908540840410904,0.6885205941722503,0.021313705887405148,0.6823880529768921,0.022427726673134495,0.5835393788784584,0.02932350043665697,0.5856439267927686,0.028376255214364852
A2_S1_temporal,DecisionTree,0.26062759435253585,0.016396734311549224,0.2652331062466316,0.021696154619601456,0.5395243589328994,0.01072466466174008,0.5490331236631416,0.007774513758274842,0.39117322735497384,0.014700111407158663,0.39239870393196025,0.015497885310418746
A2_S1_temporal,DummyMostFrequent,0.041211064485121296,8.936092734421217e-05,0.0769230769230769,0.0,0.3658818699129943,0.0010836669824582051,0.1960199015194112,0.0010056420616682846,0.0,0.0,0.0,0.0
A2_S1_temporal,ExtraTrees,0.2457372198764536,0.02469081002990537,0.24625800417981858,0.018359762720826983,0.6800395494484689,0.02724880938738282,0.6396910608871501,0.03051236592542325,0.5413370615511166,0.040884067498156075,0.5654401163135024,0.0363004605655496
A2_S1_temporal,GaussianNB,0.058007863917787394,0.019787465073783282,0.20942019108939838,0.03196221273199092,0.06141087056283937,0.014859140475379702,0.022271244299902473,0.014913158636461633,0.04323250761854343,0.011622386815675217,0.05954734451477878,0.01592096454801144
A2_S1_temporal,GradientBoosting,0.2852089622950117,0.021205883259293113,0.27472766421016154,0.021242136771409462,0.683294490267772,0.02622385083781176,0.6627363626550732,0.025849604179507643,0.5598564210295199,0.036253511534656974,0.5643948819677462,0.034669232551078885
A2_S1_temporal,HistGradientBoosting,0.3119470253956307,0.007038217470450462,0.31028713384617973,0.01613214500378977,0.7016698319040957,0.01764011804823524,0.6793274559085756,0.01831306502611649,0.5878235092649314,0.02587279790841353,0.5904815156548275,0.02400346821290179
A2_S1_temporal,KNN,0.2770592054647244,0.016590639091443454,0.28521545804216725,0.0168062635443318,0.6748261619590024,0.021751245542762143,0.6519740643139383,0.02306299123025683,0.5498909124082902,0.030904484576480006,0.5574387606097775,0.02997892654463162
A2_S1_temporal,LightGBM,0.31750400591296546,0.016984202127236003,0.3127853253142493,0.023088961449469876,0.7106809578433733,0.01822579235599298,0.6860454332444705,0.01902040232819061,0.5983033122070456,0.026698210383683082,0.6019167989199995,0.02457674241836763
A2_S1_temporal,LinearSVM,0.2789349470902979,0.0028961032185444648,0.3319473550669098,0.007050484042479496,0.5780867395820628,0.011765261102111665,0.6194384543234841,0.012190412356297494,0.46677155358301664,0.014584371786334874,0.47297698940932903,0.014305193723938337
A2_S1_temporal,LogisticRegression,0.2775605048336588,0.011741014928543876,0.3636342119689474,0.025288859505017323,0.4901832323822709,0.007178416818442615,0.5505218717435915,0.009040005787265165,0.3846688329782362,0.009056386376308541,0.39778146069695647,0.009271559082252101
A2_S1_temporal,MLP,0.3110755083308362,0.015562338794173803,0.30592332551794077,0.018651134273946605,0.6892348124202706,0.01847691283633638,0.6675039771205528,0.01953549581534793,0.5704187504616969,0.02697001338881584,0.5726680751468349,0.02583531753223563
A2_S1_temporal,RBF_SVM,0.32340873257437275,0.010194753439496666,0.3860178811889994,0.01641754055783058,0.6092583644742112,0.012779489096276294,0.6316179333270167,0.018135853254148893,0.5008184505676635,0.01738295047546712,0.5073086442451232,0.016677574868798763
A2_S1_temporal,RandomForest,0.2574969859479563,0.0249425988021852,0.251765485158976,0.020275489733283192,0.6800438292124331,0.028319270674890522,0.64230967886196,0.03002563352319941,0.5408540341004399,0.0420530309743659,0.565151244620531,0.03832143967833589
A2_S1_temporal,ShrinkageLDA,0.30404086837232425,0.010802970158047152,0.3549262976881832,0.017963130584650204,0.6404229952663968,0.019425294986684664,0.647081382804409,0.020056188126319038,0.5247108962951755,0.024416426895187335,0.5286324296033563,0.02309754206978777
A2_S1_temporal,XGBoost,0.3031945290327738,0.02368837885524609,0.2953012887647737,0.024787778094566563,0.7079697290826421,0.022005675089576567,0.6801764666275728,0.022633063891633574,0.5916531434783256,0.03215564415134685,0.5967883662338287,0.030097476153275092
A3_S1_S2_temporal,CatBoost,0.3892423346759561,0.025965814010380558,0.41418401165483665,0.019878200498290102,0.7106931470965747,0.021400605706578188,0.7094767779229887,0.019972765108356005,0.6145063105173825,0.0278780009977728,0.6164156477647619,0.027184557128930233
A3_S1_S2_temporal,DecisionTree,0.2805696718197098,0.01255693325129479,0.29342648714937747,0.01562853566216859,0.5636962710602985,0.014343701469913088,0.5745485418653222,0.01241177506427773,0.42403164000012794,0.015899458608180213,0.42514935545803345,0.015714412332959483
A3_S1_S2_temporal,DummyMostFrequent,0.041211064485121296,8.936092734421217e-05,0.0769230769230769,0.0,0.3658818699129943,0.0010836669824582051,0.1960199015194112,0.0010056420616682846,0.0,0.0,0.0,0.0
A3_S1_S2_temporal,ExtraTrees,0.34334713605979034,0.012425185770269019,0.32997603292392297,0.014060351813220172,0.7117632060986153,0.024567642075339007,0.6851575876475977,0.02366920759623222,0.5964954178479411,0.03549270759793668,0.603925780055586,0.03259970770717881
