test_season,feature,importance_mean,importance_std
wheat_2023_24,B2,-0.003381735836096883,0.007561791211459716
wheat_2023_24,B3,-0.0020290415016581296,0.006087124504974391
wheat_2023_24,B4,0.0342273307790549,0.015306927662067513
wheat_2023_24,B5,0.027381864623243917,0.019361902156627805
wheat_2023_24,B6,0.03559642401021709,0.013962066203247667
wheat_2023_24,B7,0.03559642401021709,0.013962066203247667
wheat_2023_24,B8,0.028750957854406112,0.018821920095757307
wheat_2023_24,B8A,0.028750957854406112,0.018821920095757307
wheat_2023_24,B11,0.010952745849297566,0.01816307420312126
wheat_2023_24,B12,0.029175627240143383,0.019381882502667556
wheat_2023_24,GCC,0.03833461047254148,0.010245355603120466
wheat_2023_24,NDVI,0.0342273307790549,0.015306927662067513
wheat_2023_24,NDRE,0.0342273307790549,0.015306927662067513
wheat_2023_24,GNDVI,0.020536398467432937,0.02053639846743294
wheat_2023_24,SAVI,0.03360692951015532,0.016246081281152517
wheat_2023_24,EVI,0.03356750298685784,0.016228383796871318
wheat_2023_24,LSWI,0.022019280682239552,0.021544117810497327
wheat_2023_24,s2_valid_fraction,0.0,0.0
wheat_2023_24,s2_clear_fraction,0.0,0.0
wheat_2023_24,s2_cs_cdf_median,0.00958365261813537,0.017371845623706098
wheat_2023_24,clear_pixel_count,0.0,0.0
wheat_2023_24,cloudy_pixel_percentage,0.0014281636026057956,0.010561049199799381
wheat_2023_24,S1_A129_VV,0.006845466155810979,0.015306927662067515
wheat_2023_24,S1_A129_VH,0.04005202238309284,0.04101000526991246
wheat_2023_24,S1_A129_VV_minus_VH,0.02970959950816654,0.02548002353877732
wheat_2023_24,S1_A129_RVI,0.011676457259457996,0.021519510024886175
wheat_2023_24,S1_A129_delta_days,0.0,0.0
wheat_2023_24,S1_A27_VV,0.019005247840195173,0.024113089176473788
wheat_2023_24,S1_A27_VH,0.02714389930471525,0.03389873508514647
wheat_2023_24,S1_A27_VV_minus_VH,0.09618043242959813,0.032885781229421845
wheat_2023_24,S1_A27_RVI,0.09618043242959813,0.032885781229421845
wheat_2023_24,S1_A27_delta_days,0.0,0.0
wheat_2023_24,S1_D136_VV,0.10949873244429285,0.02585173487081207
wheat_2023_24,S1_D136_VH,0.08086187046587492,0.028786442551603196
wheat_2023_24,S1_D136_VV_minus_VH,0.13451606039795358,0.047639506602379575
wheat_2023_24,S1_D136_RVI,0.12404051940258838,0.04808475469657009
wheat_2023_24,S1_D136_delta_days,0.0,0.0
wheat_2023_24,S1_D63_VV,-0.015633509169333287,0.018025806898916762
wheat_2023_24,S1_D63_VH,-0.008941685387540275,0.011296401489304072
wheat_2023_24,S1_D63_VV_minus_VH,0.0009257031291972011,0.021085136659779874
wheat_2023_24,S1_D63_RVI,0.0009257031291972011,0.021085136659779874
wheat_2023_24,S1_D63_delta_days,0.0,0.0
wheat_2024_25,B2,0.019009313126960154,0.013441614217771979
wheat_2024_25,B3,0.014256984845220116,0.014256984845220115
wheat_2024_25,B4,0.018201537025066408,0.013028285660213192
wheat_2024_25,B5,-0.00439560439560438,0.004395604395604381
wheat_2024_25,B6,0.008210012210012217,0.026230338838943074
wheat_2024_25,B7,-0.009380880557351126,0.010142640653311365
wheat_2024_25,B8,-0.016374344609638714,0.01605332478455507
wheat_2024_25,B8A,-0.025700280112044838,0.025074898201503628
wheat_2024_25,B11,0.0,0.0
wheat_2024_25,B12,-0.002344322344322336,0.0038876188018817743
wheat_2024_25,GCC,0.008901458019105073,0.01849707342425071
wheat_2024_25,NDVI,0.008831908831908831,0.015161757322344175
wheat_2024_25,NDRE,0.00231954320189615,0.017162156312580813
wheat_2024_25,GNDVI,0.016284220308988077,0.017360821447885273
wheat_2024_25,SAVI,0.006637937226172524,0.015672119728997895
wheat_2024_25,EVI,-0.008500861883214805,0.008938880516157974
wheat_2024_25,LSWI,-0.022416505063563907,0.02252299923508337
wheat_2024_25,s2_valid_fraction,0.0,0.0
wheat_2024_25,s2_clear_fraction,0.0,0.0
wheat_2024_25,s2_cs_cdf_median,0.00122818358112477,0.014371536485225603
wheat_2024_25,clear_pixel_count,0.0,0.0
wheat_2024_25,cloudy_pixel_percentage,-0.004981684981684964,0.004356357142071341
wheat_2024_25,S1_A129_VV,0.01187391257979491,0.0244504503187481
wheat_2024_25,S1_A129_VH,-0.006696832579185511,0.013382608226499386
wheat_2024_25,S1_A129_VV_minus_VH,0.0047309791458398165,0.03311687995432066
wheat_2024_25,S1_A129_RVI,0.008935129541940664,0.038137861853133864
wheat_2024_25,S1_A129_delta_days,-0.007004237592472869,0.008519921807020867
wheat_2024_25,S1_A27_VV,-0.014079400991165702,0.01317067381772502
wheat_2024_25,S1_A27_VH,-0.004688644688644672,0.0043858255083064355
wheat_2024_25,S1_A27_VV_minus_VH,0.006949413331766243,0.044931008464843505
wheat_2024_25,S1_A27_RVI,0.0032173088349558656,0.045942636426393936
wheat_2024_25,S1_A27_delta_days,-0.004688644688644672,0.0043858255083064355
wheat_2024_25,S1_D136_VV,0.015120783356077463,0.013658912618256474
wheat_2024_25,S1_D136_VH,0.006653259594436054,0.012060057180105945
wheat_2024_25,S1_D136_VV_minus_VH,-0.02150215797274622,0.01126409940261409
wheat_2024_25,S1_D136_RVI,-0.02150215797274622,0.01126409940261409
wheat_2024_25,S1_D136_delta_days,-0.007912087912087884,0.002637362637362628
wheat_2024_25,S1_D63_VV,-0.007939250292191473,0.012656450327462938
wheat_2024_25,S1_D63_VH,-0.000879120879120876,0.0026373626373626287
wheat_2024_25,S1_D63_VV_minus_VH,0.0,0.0
wheat_2024_25,S1_D63_RVI,-0.004688644688644672,0.0043858255083064355
wheat_2024_25,S1_D63_delta_days,-0.004688644688644672,0.0043858255083064355
