feature_set,model,test_season,mask_fraction,repeat,macro_f1,balanced_accuracy
S2_only,SVM_RBF,wheat_2023_24,0.0,0,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,1,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,2,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,3,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,4,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,5,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,6,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,7,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,8,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,9,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,10,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,11,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,12,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,13,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,14,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,15,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,16,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,17,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,18,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,19,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,20,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,21,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,22,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,23,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.0,24,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2024_25,0.0,0,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,1,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,2,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,3,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,4,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,5,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,6,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,7,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,8,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,9,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,10,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,11,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,12,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,13,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,14,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,15,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,16,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,17,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,18,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,19,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,20,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,21,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,22,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,23,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2024_25,0.0,24,0.4388235294117647,0.5138888888888888
S2_only,SVM_RBF,wheat_2023_24,0.2,0,0.4284178187403994,0.4345238095238095
S2_only,SVM_RBF,wheat_2023_24,0.2,1,0.39861054766734283,0.44523809523809516
S2_only,SVM_RBF,wheat_2023_24,0.2,2,0.4832183908045978,0.5011904761904762
S2_only,SVM_RBF,wheat_2023_24,0.2,3,0.3602385470317159,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.2,4,0.46039215686274504,0.48690476190476184
S2_only,SVM_RBF,wheat_2023_24,0.2,5,0.45999999999999996,0.5011904761904762
S2_only,SVM_RBF,wheat_2023_24,0.2,6,0.47870370370370374,0.5261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.2,7,0.3553225806451613,0.40595238095238095
S2_only,SVM_RBF,wheat_2023_24,0.2,8,0.39032258064516123,0.4261904761904762
S2_only,SVM_RBF,wheat_2023_24,0.2,9,0.3725,0.40595238095238095
S2_only,SVM_RBF,wheat_2023_24,0.2,10,0.3728571428571429,0.42023809523809524
S2_only,SVM_RBF,wheat_2023_24,0.2,11,0.3915130568356375,0.44761904761904764
S2_only,SVM_RBF,wheat_2023_24,0.2,12,0.38039215686274513,0.42023809523809524
S2_only,SVM_RBF,wheat_2023_24,0.2,13,0.41344537815126053,0.4345238095238095
S2_only,SVM_RBF,wheat_2023_24,0.2,14,0.39861054766734283,0.44523809523809516
S2_only,SVM_RBF,wheat_2023_24,0.2,15,0.39083540115798177,0.4095238095238095
S2_only,SVM_RBF,wheat_2023_24,0.2,16,0.38039215686274513,0.42023809523809524
S2_only,SVM_RBF,wheat_2023_24,0.2,17,0.36789215686274507,0.4119047619047619
S2_only,SVM_RBF,wheat_2023_24,0.2,18,0.31539215686274513,0.37857142857142856
S2_only,SVM_RBF,wheat_2023_24,0.2,19,0.33763574660633483,0.3702380952380952
S2_only,SVM_RBF,wheat_2023_24,0.2,20,0.35004662004662,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.2,21,0.4471794871794872,0.47619047619047616
S2_only,SVM_RBF,wheat_2023_24,0.2,22,0.4534453781512605,0.5011904761904762
S2_only,SVM_RBF,wheat_2023_24,0.2,23,0.37333333333333335,0.4309523809523809
S2_only,SVM_RBF,wheat_2023_24,0.2,24,0.4534453781512605,0.5011904761904762
S2_only,SVM_RBF,wheat_2024_25,0.2,0,0.3609523809523809,0.4201388888888889
S2_only,SVM_RBF,wheat_2024_25,0.2,1,0.3657142857142857,0.41666666666666663
S2_only,SVM_RBF,wheat_2024_25,0.2,2,0.34380952380952384,0.3888888888888889
S2_only,SVM_RBF,wheat_2024_25,0.2,3,0.4102631578947368,0.4826388888888889
S2_only,SVM_RBF,wheat_2024_25,0.2,4,0.29831932773109243,0.3888888888888889
S2_only,SVM_RBF,wheat_2024_25,0.2,5,0.4276190476190476,0.5104166666666666
S2_only,SVM_RBF,wheat_2024_25,0.2,6,0.40727272727272723,0.4756944444444444
S2_only,SVM_RBF,wheat_2024_25,0.2,7,0.43928571428571433,0.5104166666666666
S2_only,SVM_RBF,wheat_2024_25,0.2,8,0.5066666666666666,0.5972222222222222
S2_only,SVM_RBF,wheat_2024_25,0.2,9,0.4152380952380952,0.47916666666666663
S2_only,SVM_RBF,wheat_2024_25,0.2,10,0.4396491228070175,0.5104166666666666
S2_only,SVM_RBF,wheat_2024_25,0.2,11,0.48761904761904756,0.5694444444444444
S2_only,SVM_RBF,wheat_2024_25,0.2,12,0.3919298245614035,0.4513888888888889
S2_only,SVM_RBF,wheat_2024_25,0.2,13,0.42095238095238097,0.47916666666666663
S2_only,SVM_RBF,wheat_2024_25,0.2,14,0.4609523809523809,0.5381944444444444
S2_only,SVM_RBF,wheat_2024_25,0.2,15,0.48,0.5381944444444444
S2_only,SVM_RBF,wheat_2024_25,0.2,16,0.4563157894736841,0.5416666666666666
S2_only,SVM_RBF,wheat_2024_25,0.2,17,0.36214285714285716,0.4201388888888889
S2_only,SVM_RBF,wheat_2024_25,0.2,18,0.4895238095238096,0.5659722222222222
S2_only,SVM_RBF,wheat_2024_25,0.2,19,0.43714285714285717,0.5069444444444444
S2_only,SVM_RBF,wheat_2024_25,0.2,20,0.3865934065934066,0.44791666666666663
S2_only,SVM_RBF,wheat_2024_25,0.2,21,0.3354621848739496,0.41666666666666663
S2_only,SVM_RBF,wheat_2024_25,0.2,22,0.3352380952380952,0.41666666666666663
S2_only,SVM_RBF,wheat_2024_25,0.2,23,0.4133333333333333,0.4756944444444444
S2_only,SVM_RBF,wheat_2024_25,0.2,24,0.367406015037594,0.4201388888888889
S2_only,SVM_RBF,wheat_2023_24,0.4,0,0.21186868686868685,0.2642857142857143
S2_only,SVM_RBF,wheat_2023_24,0.4,1,0.23921375921375923,0.31666666666666665
S2_only,SVM_RBF,wheat_2023_24,0.4,2,0.3602385470317159,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.4,3,0.326797385620915,0.37619047619047613
