field_id,latitude,longitude,period_start,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_raw,VV_VH_ratio_dB,optical_valid,sar_valid,optical_source_tile,sar_source_tile,season_day,growth_stage_pseudo
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-06-01,0.1555999964475631,0.2028000056743621,0.2486999928951263,0.2922999858856201,0.3978999853134155,0.3702499866485595,0.0842454582452774,-0.1807466000318527,-0.1530084908008575,0.0674173608422279,0.0622085817158222,-11.773941040039062,-25.924203872680664,0.454167902469635,14.150262832641602,1,1,4,4,0.0,Sowing/Planting
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-06-17,0.146599993109703,0.1454000025987625,0.1407999992370605,0.1490000039339065,0.0331000015139579,0.0252000000327825,0.0282953921705484,-0.0122282654047012,0.636463463306427,0.0229229684919118,0.0155735714361071,-12.88003158569336,-23.23384475708008,0.5460687279701233,10.353813171386722,1,1,4,4,16.0,Sowing/Planting
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-07-03,,,,,,,,,,,,-10.305586814880373,-23.38811683654785,0.4406335055828094,13.082530021667479,0,1,-1,4,32.0,
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-07-19,,,,,,,,,,,,-8.287163734436035,-19.93231010437012,0.4157653748989105,11.645146369934086,0,1,-1,4,48.0,
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-08-04,,,,,,,,,,,,-12.362371444702148,-17.441650390625,0.7093660831451416,5.079278945922852,0,1,-1,4,64.0,
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-08-20,,,,,,,,,,,,-13.935870170593262,-17.537540435791016,0.7946308255195618,3.601670265197754,0,1,-1,4,80.0,
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-09-05,0.0388500019907951,0.0766000002622604,0.0486999973654747,0.3255999982357025,0.1731500029563903,0.0947000011801719,0.7397512197494507,-0.6189042329788208,0.3052893877029419,0.5198959112167358,0.4750575125217438,-10.581257820129396,-16.237220764160156,0.6516668200492859,5.65596294403076,1,1,4,4,96.0,Flowering
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-09-21,0.048200000077486,0.0844999998807907,0.0711999982595443,0.2851999998092651,0.1951999962329864,0.1101000010967254,0.6004489660263062,-0.5428726077079773,0.1690080910921096,0.380834013223648,0.3717887699604034,-11.898659706115724,-15.912116050720217,0.748928427696228,4.013456344604492,1,1,4,4,112.0,Grain Filling
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-10-07,0.0988499969244003,0.126800000667572,0.1595000028610229,0.2281000018119812,0.3440000116825104,0.2877500057220459,0.157883271574974,-0.3319797217845917,-0.1947929859161377,0.0976300314068794,0.1004877090454101,-11.592451095581056,-17.797819137573242,0.6513411402702332,6.205368041992186,1,1,4,4,128.0,Maturity
GEE-PIXEL-0,29.80390928361676,76.86845147841248,2025-10-23,,,,,,,,,,,,-6.281013011932373,-15.522095680236816,0.4046498239040375,9.241082668304443,0,1,-1,4,144.0,
